Date,Jour,Semaine,Bloc,Focus semaine,Type séance,Séance prévue,Durée prévue,RPE cible,Priorité,Fait ?,Durée réelle,RPE réel,Sommeil /10,Fatigue jambes /10,Douleur /10,Golf joué ?,Score ou ressenti golf,Notes / splits
2026-06-29,Lundi,1,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Force jambes,"Back squat 5x5 @105 kg + Romanian deadlift 4x6 @90 kg + Bulgarian split squat 3x8/jambe avec 2x20 kg + step-up box 50 cm 3x12/jambe avec 2x16 kg + finisher endurance: 3x30 walking lunges sandbag 20 kg, récup 90s. Technique: genou suit 2e orteil, gainage, respiration contrôlée.",60-70 min,7-8,A,,,,,,,,,"Priorité jambes: lourd mais jamais à l'échec | Charges calculées sur 1RM: bench 135 kg, squat 145 kg, deadlift 165 kg. Sled = poids total incl. traîneau à ajuster au sol pour tenir le RPE."
2026-06-30,Mardi,1,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Running seuil / intervalles,"Échauffement 15 min + éducatifs foulée 4x60 m. Intervalles: 6x800 m allure 10 km/RPE8, récup 2 min trot. Fin: 6 min easy + 4 accélérations 15s. Technique: cadence légère, épaules basses, poser sous le centre de gravité.",50-65 min,7-8,A,,,,,,,,,Noter split moyen des 800 m
2026-07-01,Mercredi,1,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Golf / récup active,"9 trous ou practice technique golf 60-90 min + mobilité hanches/rachis thoracique 15 min + respiration 5 min. Technique golf: routine complète, équilibre finish, pas de séance physique cachée.",60-120 min,3-4,C,,,,,,,,,"Récup active, priorité fraîcheur"
2026-07-02,Jeudi,1,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Force haut + stations,Tractions strictes 4x6-8 ou tirage vertical 4x8 @75 kg + développé couché 4x6 @95 kg + rowing barre 4x8 @75 kg + sled push 6x15 m total 120 kg + sled pull 6x15 m total 80 kg + farmer carry 4x40 m 2x24 kg. Technique: push hanches basses/pas courts; pull buste gainé/bras longs; farmer épaules basses.,60-70 min,7-8,A,,,,,,,,,"Stations lourdes, qualité avant vitesse"
2026-07-03,Vendredi,1,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Zone 2,"Course Zone 2 50 min, allure conversationnelle, FC basse. Fin: 6x20s lignes droites si jambes OK + mobilité mollets/ischios 10 min. Technique: cadence stable, appuis silencieux, ne jamais dériver en seuil.",60 min,4-5,A,,,,,,,,,Séance clé moteur aérobie
2026-07-04,Samedi,1,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",HYROX spécifique,HYROX technique 4 tours: 1 km run RPE6 + SkiErg 500 m cadence régulière + 20 wall balls 6 kg cible 3 m + 20 walking lunges sandbag 20 kg. Récup 2 min. Technique: wall ball squat complet/lancer fluide; lunges genou arrière au sol/buste haut.,55-65 min,6-7,A,,,,,,,,,Apprendre enchaînement sans se cramer
2026-07-05,Dimanche,1,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Golf long / repos,"18 trous si prévu, sinon repos complet + marche 30 min. Après: mobilité 12 min mollets/quads/hanches + auto-évaluation fatigue jambes. Si fatigue jambes >7/10: repos prioritaire.",0-240 min,2-4,B,,,,,,,,,Ne pas compenser par un WOD
2026-07-06,Lundi,2,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Force jambes,"Back squat 5x5 @110 kg + Romanian deadlift 4x6 @90 kg + Bulgarian split squat 3x8/jambe avec 2x20 kg + step-up box 50 cm 3x12/jambe avec 2x16 kg + finisher endurance: 3x30 walking lunges sandbag 20 kg, récup 90s. Technique: genou suit 2e orteil, gainage, respiration contrôlée.",60-70 min,7-8,A,,,,,,,,,Priorité jambes: lourd mais jamais à l'échec
2026-07-07,Mardi,2,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Running seuil / intervalles,"Échauffement 15 min + éducatifs foulée 4x60 m. Intervalles: 6x800 m allure 10 km/RPE8, récup 2 min trot. Fin: 6 min easy + 4 accélérations 15s. Technique: cadence légère, épaules basses, poser sous le centre de gravité.",50-65 min,7-8,A,,,,,,,,,Noter split moyen des 800 m
2026-07-08,Mercredi,2,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Golf / récup active,"9 trous ou practice technique golf 60-90 min + mobilité hanches/rachis thoracique 15 min + respiration 5 min. Technique golf: routine complète, équilibre finish, pas de séance physique cachée.",60-120 min,3-4,C,,,,,,,,,"Récup active, priorité fraîcheur"
2026-07-09,Jeudi,2,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Force haut + stations,Tractions strictes 4x6-8 ou tirage vertical 4x8 @75 kg + développé couché 4x6 @97.5 kg + rowing barre 4x8 @75 kg + sled push 6x15 m total 125 kg + sled pull 6x15 m total 85 kg + farmer carry 4x40 m 2x24 kg. Technique: push hanches basses/pas courts; pull buste gainé/bras longs; farmer épaules basses.,60-70 min,7-8,A,,,,,,,,,"Stations lourdes, qualité avant vitesse"
2026-07-10,Vendredi,2,Bloc 1 - Base moteur + force jambes,"Zone 2, force lourde, technique sled/lunges",Zone 2,"Course Zone 2 55 min, allure conversationnelle, FC basse. Fin: 6x20s lignes droites si jambes OK + mobilité mollets/ischios 10 min. Technique: cadence stable, appuis silencieux, ne jamais dériver en seuil.",65 min,4-5,A,,,,,,,,,Séance clé moteur aérobie
